sgemm	6	3145728	45a71dee	57.662987000
sgemm	0	3145728	45a71dee	26.604658000
sgemm	2	3145728	45a71dee	60.490417000
sgemm	4	3145728	45a71dee	91.537701000
sgemm	5	3145728	45a71dee	60.477676000
sgemm	3	3145728	45a71dee	91.538926000
sgemm	0	3145728	45a71dee	33.737291000
sgemm	1	3145728	45a71dee	33.859643000
sgemm	6	3145728	45a71dee	42.381261000
sgemm	2	3145728	45a71dee	8.518242000
sgemm	4	3145728	45a71dee	45.286368000
sgemm	6	3145728	45a71dee	36.792054000
sgemm	5	3145728	45a71dee	39.654079000
sgemm	3	3145728	45a71dee	45.308682000
sgemm	0	3145728	45a71dee	39.669974000
sgemm	2	3145728	45a71dee	36.803451000
sgemm	1	3145728	45a71dee	64.068348000
sgemm	6	3145728	45a71dee	14.824754000
sgemm	3	3145728	45a71dee	19.147806000
sgemm	5	3145728	45a71dee	19.145597000
strsm	2	2097152	e6adb9cb	19.158979000
sgemm	2	3145728	45a71dee	32.084871000
strsm	4	2097152	e6adb9cb	51.306115000
sgemm	5	3145728	45a71dee	32.148815000
sgemm	3	3145728	45a71dee	32.151400000
sgemm	1	3145728	45a71dee	32.536419000
sgemm	6	3145728	45a71dee	51.697319000
sgemm	2	3145728	45a71dee	19.818334000
sgemm	0	3145728	45a71dee	70.854206000
sgemm	3	3145728	45a71dee	19.821279000
sgemm	1	3145728	45a71dee	19.821574000
sgemm	5	3145728	45a71dee	19.694465000
sgemm	6	3145728	45a71dee	38.427186000
sgemm	0	3145728	45a71dee	38.138892000
sgemm	1	3145728	45a71dee	38.132434000
sgemm	5	3145728	45a71dee	57.719401000
sgemm	3	3145728	45a71dee	61.282214000
sgemm	6	3145728	45a71dee	27.512394000
sgemm	4	3145728	45a71dee	85.431533000
sgemm	5	3145728	45a71dee	7.903704000
sgemm	3	3145728	45a71dee	4.375944000
sgemm	0	3145728	45a71dee	27.519457000
sgemm	1	3145728	45a71dee	27.538984000
sgemm	0	3145728	45a71dee	26.641612000
sgemm	2	3145728	45a71dee	92.347091000
sgemm	3	3145728	45a71dee	26.643312000
sgemm	1	3145728	45a71dee	26.630676000
sgemm	5	3145728	45a71dee	26.623849000
sgemm	6	3145728	45a71dee	37.412551000
sgemm	4	3145728	45a71dee	37.310989000
sgemm	5	3145728	45a71dee	10.802753000
sgemm	2	3145728	45a71dee	47.548822000
sgemm	4	3145728	45a71dee	37.033912000
sgemm	1	3145728	45a71dee	43.454004000
strsm	3	2097152	e6adb9cb	47.848026000
sgemm	5	3145728	45a71dee	37.058504000
sgemm	2	3145728	45a71dee	58.041250000
sgemm	3	3145728	45a71dee	57.653126000
strsm	5	2097152	e6adb9cb	57.724712000
sgemm	6	3145728	45a71dee	94.862336000
sgemm	1	3145728	45a71dee	95.268654000
sgemm	0	3145728	45a71dee	143.236427000
sgemm	5	3145728	45a71dee	37.807754000
sgemm	3	3145728	45a71dee	37.862048000
sgemm	4	3145728	45a71dee	95.655893000
sgemm	2	3145728	45a71dee	64.253946000
sgemm	1	3145728	45a71dee	26.774357000
sgemm	3	3145728	45a71dee	26.420323000
sgemm	4	3145728	45a71dee	60.130837000
sgemm	3	3145728	45a71dee	33.696886000
sgemm	5	3145728	45a71dee	60.150533000
sgemm	1	3145728	45a71dee	33.704669000
sgemm	0	3145728	45a71dee	60.183538000
sgemm	1	3145728	45a71dee	11.941971000
sgemm	2	3145728	45a71dee	45.605532000
sgemm	4	3145728	45a71dee	23.533534000
sgemm	1	3145728	45a71dee	11.683329000
sgemm	2	3145728	45a71dee	30.029698000
sgemm	1	3145728	45a71dee	18.328989000
sgemm	3	3145728	45a71dee	41.992751000
strsm	2	2097152	e6adb9cb	34.298520000
sgemm	5	3145728	45a71dee	76.311686000
sgemm	4	3145728	45a71dee	52.820420000
strsm	3	2097152	e6adb9cb	47.441372000
sgemm	6	3145728	45a71dee	192.614668000
sgemm	0	3145728	45a71dee	94.548867000
sgemm	5	3145728	45a71dee	18.212519000
sgemm	2	3145728	45a71dee	31.222124000
sgemm	3	3145728	45a71dee	18.065277000
sgemm	0	3145728	45a71dee	23.708341000
sgemm	4	3145728	45a71dee	46.924446000
sgemm	1	3145728	45a71dee	81.291795000
sgemm	6	3145728	45a71dee	36.113207000
sgemm	5	3145728	45a71dee	36.110970000
sgemm	4	3145728	45a71dee	15.234386000
sgemm	2	3145728	45a71dee	30.894042000
sgemm	3	3145728	45a71dee	30.893713000
sgemm	5	3145728	45a71dee	7.836198000
sgemm	6	3145728	45a71dee	7.841958000
sgemm	1	3145728	45a71dee	15.260675000
sgemm	3	3145728	45a71dee	41.908910000
sgemm	2	3145728	45a71dee	46.243248000
sgemm	0	3145728	45a71dee	66.650959000
sgemm	5	3145728	45a71dee	46.386237000
sgemm	3	3145728	45a71dee	4.452919000
sgemm	1	3145728	45a71dee	46.372030000
sgemm	6	3145728	45a71dee	67.149660000
sgemm	4	3145728	45a71dee	67.149800000
sgemm	2	3145728	45a71dee	20.940437000
sgemm	5	3145728	45a71dee	20.922458000
sgemm	0	3145728	45a71dee	30.851826000
sgemm	2	3145728	45a71dee	47.624153000
sgemm	4	3145728	45a71dee	47.811510000
sgemm	5	3145728	45a71dee	47.615672000
sgemm	3	3145728	45a71dee	68.571842000
sgemm	1	3145728	45a71dee	68.575508000
sgemm	6	3145728	45a71dee	70.307547000
