sgetrf_nopiv	2	2359296	c5fba424	93.527816000
sgemm	5	7077888	19cb29ef	81.305936000
sgemm	3	7077888	19cb29ef	50.306291000
sgemm	7	7077888	19cb29ef	50.749231000
sgemm	4	7077888	19cb29ef	121.227166000
sgemm	3	7077888	19cb29ef	46.623674000
sgemm	5	7077888	19cb29ef	70.421232000
sgemm	6	7077888	19cb29ef	163.955232000
sgemm	3	7077888	19cb29ef	66.590006000
sgemm	4	7077888	19cb29ef	97.893323000
sgemm	7	7077888	19cb29ef	113.224586000
sgemm	3	7077888	19cb29ef	81.458657000
sgemm	7	7077888	19cb29ef	83.433503000
sgemm	0	7077888	19cb29ef	366.936416000
sgemm	5	7077888	19cb29ef	150.051641000
sgemm	1	7077888	19cb29ef	247.462419000
sgemm	4	7077888	19cb29ef	166.026038000
sgemm	5	7077888	19cb29ef	82.587779000
sgemm	3	7077888	19cb29ef	84.545483000
sgemm	6	7077888	19cb29ef	166.041803000
sgemm	7	7077888	19cb29ef	82.619461000
sgemm	0	7077888	19cb29ef	113.050774000
sgemm	1	7077888	19cb29ef	113.026176000
strsm	4	4718592	5f1ae26e	122.301277000
strsm	0	4718592	5f1ae26e	109.113389000
sgemm	3	7077888	19cb29ef	139.559498000
strsm	1	4718592	5f1ae26e	109.115952000
sgemm	6	7077888	19cb29ef	138.762120000
sgemm	7	7077888	19cb29ef	139.050762000
sgemm	5	7077888	19cb29ef	139.573450000
sgemm	4	7077888	19cb29ef	20.396386000
strsm	5	4718592	5f1ae26e	26.534452000
sgemm	7	7077888	19cb29ef	26.535268000
sgemm	4	7077888	19cb29ef	110.129670000
sgemm	5	7077888	19cb29ef	91.266300000
sgemm	3	7077888	19cb29ef	112.903881000
sgemm	5	7077888	19cb29ef	113.355581000
sgemm	7	7077888	19cb29ef	204.717909000
sgemm	6	7077888	19cb29ef	231.273142000
sgemm	3	7077888	19cb29ef	145.064922000
sgemm	1	7077888	19cb29ef	259.910150000
sgemm	4	7077888	19cb29ef	145.066562000
sgemm	0	7077888	19cb29ef	262.935930000
sgemm	7	7077888	19cb29ef	140.866071000
sgemm	5	7077888	19cb29ef	140.866858000
strsm	6	4718592	5f1ae26e	140.860362000
sgemm	4	7077888	19cb29ef	109.154994000
sgemm	3	7077888	19cb29ef	109.163577000
sgemm	1	7077888	19cb29ef	109.193336000
sgemm	0	7077888	19cb29ef	154.694996000
sgemm	4	7077888	19cb29ef	73.799432000
sgemm	1	7077888	19cb29ef	73.792868000
sgemm	6	7077888	19cb29ef	73.697697000
sgemm	5	7077888	19cb29ef	65.022376000
sgemm	0	7077888	19cb29ef	135.339911000
sgemm	5	7077888	19cb29ef	107.041794000
sgemm	7	7077888	19cb29ef	180.839875000
sgemm	1	7077888	19cb29ef	107.059866000
sgemm	6	7077888	19cb29ef	129.199396000
sgemm	7	7077888	19cb29ef	56.739803000
sgemm	6	7077888	19cb29ef	35.485313000
sgemm	1	7077888	19cb29ef	135.835727000
sgemm	5	7077888	19cb29ef	136.014785000
sgemm	4	7077888	19cb29ef	243.483016000
sgemm	7	7077888	19cb29ef	79.678845000
sgemm	3	7077888	19cb29ef	317.418049000
sgemm	6	7077888	19cb29ef	117.856210000
sgemm	1	7077888	19cb29ef	41.170506000
sgemm	3	7077888	19cb29ef	60.418050000
sgemm	0	7077888	19cb29ef	293.713126000
sgemm	1	7077888	19cb29ef	116.650163000
sgemm	4	7077888	19cb29ef	157.795694000
sgemm	5	7077888	19cb29ef	158.200800000
sgemm	6	7077888	19cb29ef	118.692595000
sgemm	3	7077888	19cb29ef	97.172666000
sgemm	7	7077888	19cb29ef	157.844058000
sgemm	4	7077888	19cb29ef	76.056322000
