5831, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5871, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5832, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5872, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5833, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5873, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5834, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5874, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5837, ssyrk, M768x768x4_M768x768x4, 4718592,	5877, ssyrk, M768x768x4_M768x768x4, 4718592, 40
5838, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5878, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5839, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5879, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5840, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5880, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5841, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5881, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5842, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5882, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5843, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5883, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5844, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5884, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5845, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5885, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5848, ssyrk, M768x768x4_M768x768x4, 4718592,	5888, ssyrk, M768x768x4_M768x768x4, 4718592, 40
5849, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5889, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5850, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5890, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5851, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5891, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5852, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5892, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5853, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5893, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5854, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5894, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5855, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5895, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5858, ssyrk, M768x768x4_M768x768x4, 4718592,	5898, ssyrk, M768x768x4_M768x768x4, 4718592, 40
5859, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5899, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5860, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5900, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5861, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5901, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5862, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5902, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5863, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5903, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5864, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5904, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5867, ssyrk, M768x768x4_M768x768x4, 4718592,	5907, ssyrk, M768x768x4_M768x768x4, 4718592, 40
5868, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5908, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5869, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5909, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5870, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5910, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5871, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5911, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5872, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5912, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5875, ssyrk, M768x768x4_M768x768x4, 4718592,	5915, ssyrk, M768x768x4_M768x768x4, 4718592, 40
5876, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5916, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5877, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5917, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5878, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5918, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5879, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5919, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5882, ssyrk, M768x768x4_M768x768x4, 4718592,	5922, ssyrk, M768x768x4_M768x768x4, 4718592, 40
