57965, sgetrf_nopiv, M768x768x4, 2359296,
58209, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58210, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58211, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58212, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58213, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58214, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58215, strsm, M768x768x4_M768x768x4, 4718592,
58216, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58217, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58218, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58219, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58220, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58221, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58222, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58223, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58224, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58225, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58226, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58227, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58228, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58229, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58230, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58231, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58232, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58233, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58234, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58235, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58236, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58237, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58238, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58239, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58240, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58241, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58242, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58243, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58244, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58245, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58246, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58247, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58248, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58249, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58250, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58251, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58252, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58253, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58254, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58255, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58256, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58257, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58258, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58259, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58260, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58261, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58262, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58263, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58264, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58265, strsm, M768x768x4_M768x768x4, 4718592,
58266, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58267, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58268, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58269, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58270, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58271, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58272, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58273, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58274, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58275, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58276, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58277, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58278, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58279, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58280, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58281, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58282, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58283, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58284, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58285, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58286, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58287, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58288, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58289, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58290, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58291, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58292, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58293, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58294, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58295, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58296, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58297, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58298, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58299, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58300, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58301, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58302, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58303, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58304, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58305, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58306, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58307, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58308, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58309, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58310, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58311, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58312, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58313, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58314, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58315, strsm, M768x768x4_M768x768x4, 4718592,
58316, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58317, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58318, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58319, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58320, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58321, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58322, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58323, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58324, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58325, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58326, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58327, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58328, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58329, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58330, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58331, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58332, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58333, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58334, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58335, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
