ssyrk	4	2097152	e6adb9cb	10.894176000
sgemm	0	3145728	45a71dee	24.471812000
sgemm	7	3145728	45a71dee	35.357457000
sgemm	5	3145728	45a71dee	24.460574000
sgemm	6	3145728	45a71dee	88.370247000
sgemm	7	3145728	45a71dee	63.878334000
sgemm	4	3145728	45a71dee	88.355232000
sgemm	5	3145728	45a71dee	63.868245000
sgemm	0	3145728	45a71dee	63.889100000
sgemm	2	3145728	45a71dee	96.430656000
strsm	7	2097152	e6adb9cb	8.040051000
strsm	3	2097152	e6adb9cb	96.565235000
sgemm	6	3145728	45a71dee	8.305623000
sgemm	6	3145728	45a71dee	36.663190000
sgemm	3	3145728	45a71dee	36.709595000
sgemm	0	3145728	45a71dee	44.977259000
sgemm	5	3145728	45a71dee	44.976787000
sgemm	7	3145728	45a71dee	36.855856000
sgemm	2	3145728	45a71dee	73.208627000
sgemm	4	3145728	45a71dee	81.092180000
sgemm	7	3145728	45a71dee	36.093388000
strsm	5	2097152	e6adb9cb	36.114682000
sgemm	6	3145728	45a71dee	36.123255000
sgemm	3	3145728	45a71dee	36.152966000
ssyrk	3	2097152	e6adb9cb	46.642752000
sgemm	6	3145728	45a71dee	46.650419000
sgemm	0	3145728	45a71dee	82.803893000
sgemm	5	3145728	45a71dee	46.544260000
ssyrk	7	2097152	e6adb9cb	46.696744000
sgemm	2	3145728	45a71dee	46.696022000
sgemm	4	3145728	45a71dee	69.862995000
sgemm	7	3145728	45a71dee	23.157521000
sgemm	3	3145728	45a71dee	84.907673000
sgemm	3	3145728	45a71dee	3.212401000
sgemm	2	3145728	45a71dee	88.119081000
sgemm	0	3145728	45a71dee	88.143874000
sgemm	4	3145728	45a71dee	86.990730000
sgemm	0	3145728	45a71dee	35.604105000
sgemm	6	3145728	45a71dee	123.769383000
sgemm	5	3145728	45a71dee	123.766144000
sgemm	3	3145728	45a71dee	35.609628000
sgemm	4	3145728	45a71dee	13.564294000
sgemm	2	3145728	45a71dee	35.618161000
sgemm	7	3145728	45a71dee	100.607679000
sgemm	6	3145728	45a71dee	9.209037000
sgemm	0	3145728	45a71dee	9.208593000
sgemm	4	3145728	45a71dee	42.706646000
sgemm	2	3145728	45a71dee	43.513389000
sgemm	7	3145728	45a71dee	43.503990000
ssyrk	5	2097152	e6adb9cb	43.523816000
sgemm	0	3145728	45a71dee	34.306882000
sgemm	6	3145728	45a71dee	34.309429000
sgemm	3	3145728	45a71dee	107.062135000
sgemm	4	3145728	45a71dee	63.492221000
sgemm	7	3145728	45a71dee	63.542730000
sgemm	6	3145728	45a71dee	121.661899000
sgemm	4	3145728	45a71dee	58.129737000
sgemm	7	3145728	45a71dee	93.083017000
sgemm	5	3145728	45a71dee	156.627520000
strsm	2	2097152	e6adb9cb	229.673388000
sgemm	5	3145728	45a71dee	73.034361000
sgemm	4	3145728	45a71dee	107.999739000
sgemm	0	3145728	45a71dee	229.847359000
sgemm	6	3145728	45a71dee	108.164062000
sgemm	7	3145728	45a71dee	73.189294000
sgemm	2	3145728	45a71dee	31.808854000
sgemm	3	3145728	45a71dee	198.098918000
sgemm	4	3145728	45a71dee	83.959228000
sgemm	5	3145728	45a71dee	83.959280000
sgemm	2	3145728	45a71dee	52.031046000
sgemm	7	3145728	45a71dee	83.818801000
sgemm	0	3145728	45a71dee	83.834347000
sgemm	6	3145728	45a71dee	83.861814000
sgemm	4	3145728	45a71dee	35.693059000
ssyrk	2	2097152	e6adb9cb	35.748532000
sgemm	5	3145728	45a71dee	35.715242000
sgemm	3	3145728	45a71dee	87.811610000
sgemm	0	3145728	45a71dee	69.512467000
sgemm	6	3145728	45a71dee	69.492687000
strsm	0	2097152	e6adb9cb	26.483473000
sgemm	2	3145728	45a71dee	60.287482000
sgemm	7	3145728	45a71dee	96.021343000
sgemm	5	3145728	45a71dee	60.278906000
sgemm	6	3145728	45a71dee	26.490057000
sgemm	3	3145728	45a71dee	60.303350000
sgemm	4	3145728	45a71dee	60.472434000
sgemm	6	3145728	45a71dee	11.287841000
sgemm	5	3145728	45a71dee	11.288894000
sgemm	6	3145728	45a71dee	35.911169000
sgemm	3	3145728	45a71dee	47.209652000
sgemm	4	3145728	45a71dee	47.021254000
sgemm	5	3145728	45a71dee	35.909733000
sgemm	0	3145728	45a71dee	47.050944000
sgemm	2	3145728	45a71dee	46.524132000
sgemm	4	3145728	45a71dee	24.082798000
sgemm	7	3145728	45a71dee	71.318142000
sgemm	6	3145728	45a71dee	24.084846000
sgemm	5	3145728	45a71dee	24.101171000
sgemm	2	3145728	45a71dee	24.109204000
sgemm	0	3145728	45a71dee	24.136011000
ssyrk	0	2097152	e6adb9cb	50.118013000
sgemm	2	3145728	45a71dee	50.135977000
sgemm	5	3145728	45a71dee	50.136495000
sgemm	3	3145728	45a71dee	74.298352000
sgemm	7	3145728	45a71dee	50.180658000
strsm	6	2097152	e6adb9cb	50.138559000
sgemm	4	3145728	45a71dee	50.194193000
sgemm	0	3145728	45a71dee	21.788461000
sgemm	6	3145728	45a71dee	21.610731000
sgemm	5	3145728	45a71dee	21.788326000
sgemm	4	3145728	45a71dee	57.327213000
sgemm	6	3145728	45a71dee	35.732074000
sgemm	3	3145728	45a71dee	57.488978000
sgemm	0	3145728	45a71dee	59.112189000
sgemm	7	3145728	45a71dee	80.872543000
sgemm	5	3145728	45a71dee	59.075421000
sgemm	2	3145728	45a71dee	80.883175000
sgemm	3	3145728	45a71dee	74.835481000
sgemm	6	3145728	45a71dee	68.786138000
sgemm	4	3145728	45a71dee	74.838973000
sgemm	5	3145728	45a71dee	51.566591000
sgemm	2	3145728	45a71dee	51.437305000
sgemm	0	3145728	45a71dee	51.610948000
sgemm	5	3145728	45a71dee	27.573795000
sgemm	2	3145728	45a71dee	31.767033000
sgemm	3	3145728	45a71dee	31.767478000
sgemm	0	3145728	45a71dee	31.745216000
sgemm	4	3145728	45a71dee	31.780401000
ssyrk	6	2097152	e6adb9cb	51.050576000
sgemm	2	3145728	45a71dee	20.708726000
sgemm	3	3145728	45a71dee	20.710236000
sgemm	0	3145728	45a71dee	20.692147000
sgemm	5	3145728	45a71dee	24.871792000
sgemm	7	3145728	45a71dee	104.115445000
sgemm	6	3145728	45a71dee	65.496540000
sgemm	4	3145728	45a71dee	85.652417000
sgemm	3	3145728	45a71dee	64.933756000
sgemm	5	3145728	45a71dee	64.928166000
sgemm	0	3145728	45a71dee	64.939783000
sgemm	2	3145728	45a71dee	64.968230000
sgemm	2	3145728	45a71dee	48.035650000
