sgemm	6	11059200	24c84a50	273.986856000
strsm	6	7372800	ff82dda0	53.873117000
sgemm	0	11059200	24c84a50	202.317532000
sgemm	1	11059200	24c84a50	53.877842000
sgemm	3	11059200	24c84a50	226.000600000
strsm	2	7372800	ff82dda0	278.998853000
sgemm	0	11059200	24c84a50	53.282964000
sgemm	5	11059200	24c84a50	107.363203000
ssyrk	4	7372800	ff82dda0	291.698820000
ssyrk	6	7372800	ff82dda0	65.904466000
strsm	0	7372800	ff82dda0	43.802727000
ssyrk	2	7372800	ff82dda0	43.708758000
sgemm	5	11059200	24c84a50	71.909477000
sgemm	2	11059200	24c84a50	85.883407000
sgemm	5	11059200	24c84a50	117.540435000
sgemm	1	11059200	24c84a50	355.383517000
sgemm	6	11059200	24c84a50	289.391367000
sgemm	3	11059200	24c84a50	355.064175000
ssyrk	0	7372800	ff82dda0	258.164490000
sgemm	5	11059200	24c84a50	112.524695000
sgemm	2	11059200	24c84a50	174.375023000
strsm	1	7372800	ff82dda0	29.832780000
sgemm	3	11059200	24c84a50	31.039471000
sgemm	5	11059200	24c84a50	65.234541000
sgemm	1	11059200	24c84a50	89.127455000
sgemm	4	11059200	24c84a50	408.476334000
sgemm	0	11059200	24c84a50	119.073817000
sgemm	3	11059200	24c84a50	89.407044000
sgemm	5	11059200	24c84a50	136.769016000
sgemm	2	11059200	24c84a50	199.989082000
sgemm	1	11059200	24c84a50	133.858144000
sgemm	0	11059200	24c84a50	133.857938000
sgemm	4	11059200	24c84a50	133.841658000
sgemm	3	11059200	24c84a50	177.472863000
sgemm	4	11059200	24c84a50	45.764784000
ssyrk	1	7372800	ff82dda0	76.764998000
sgemm	4	11059200	24c84a50	30.969151000
sgemm	0	11059200	24c84a50	162.169652000
sgemm	3	11059200	24c84a50	117.163682000
sgemm	5	11059200	24c84a50	213.015949000
sgemm	4	11059200	24c84a50	86.017417000
sgemm	6	11059200	24c84a50	434.321339000
sgemm	6	11059200	24c84a50	126.908232000
sgemm	4	11059200	24c84a50	144.926347000
strsm	1	7372800	ff82dda0	231.447736000
sgemm	3	11059200	24c84a50	146.043508000
sgemm	0	11059200	24c84a50	146.062092000
sgemm	2	11059200	24c84a50	362.259677000
