sgemm	7	4915200	f0ac7beb	84.354305000
sgemm	3	4915200	f0ac7beb	83.309766000
sgemm	5	4915200	f0ac7beb	24.698222000
sgemm	4	4915200	f0ac7beb	96.749195000
sgemm	0	4915200	f0ac7beb	96.747508000
sgemm	2	4915200	f0ac7beb	43.200955000
sgemm	4	4915200	f0ac7beb	24.519217000
sgemm	7	4915200	f0ac7beb	36.932149000
sgemm	1	4915200	f0ac7beb	36.932249000
sgemm	0	4915200	f0ac7beb	24.541809000
sgemm	5	4915200	f0ac7beb	24.546064000
sgemm	3	4915200	f0ac7beb	24.569968000
ssyrk	3	3276800	d39bff17	34.301100000
sgemm	1	4915200	f0ac7beb	34.314263000
sgemm	2	4915200	f0ac7beb	40.244398000
sgemm	5	4915200	f0ac7beb	34.305984000
sgemm	7	4915200	f0ac7beb	47.624523000
sgemm	0	4915200	f0ac7beb	47.621431000
sgemm	1	4915200	f0ac7beb	27.698030000
sgemm	7	4915200	f0ac7beb	63.171671000
sgemm	5	4915200	f0ac7beb	76.474254000
sgemm	4	4915200	f0ac7beb	110.798538000
sgemm	2	4915200	f0ac7beb	89.391317000
strsm	3	3276800	d39bff17	91.030800000
sgemm	1	4915200	f0ac7beb	63.300628000
sgemm	5	4915200	f0ac7beb	24.260979000
ssyrk	3	3276800	d39bff17	9.605460000
strsm	2	3276800	d39bff17	11.347685000
sgemm	0	4915200	f0ac7beb	87.458002000
sgemm	4	4915200	f0ac7beb	24.269141000
sgemm	1	4915200	f0ac7beb	9.738903000
sgemm	5	4915200	f0ac7beb	103.293766000
sgemm	0	4915200	f0ac7beb	102.601407000
sgemm	7	4915200	f0ac7beb	127.595507000
sgemm	1	4915200	f0ac7beb	103.310255000
sgemm	4	4915200	f0ac7beb	103.315067000
sgemm	1	4915200	f0ac7beb	99.771495000
ssyrk	2	3276800	d39bff17	210.589417000
sgemm	4	4915200	f0ac7beb	108.281218000
sgemm	2	4915200	f0ac7beb	39.491174000
strsm	1	3276800	d39bff17	59.787614000
sgemm	3	4915200	f0ac7beb	262.026732000
sgemm	4	4915200	f0ac7beb	51.346935000
sgemm	3	4915200	f0ac7beb	37.838305000
sgemm	5	4915200	f0ac7beb	197.416340000
sgemm	2	4915200	f0ac7beb	49.652975000
sgemm	1	4915200	f0ac7beb	37.704423000
sgemm	7	4915200	f0ac7beb	197.467206000
sgemm	4	4915200	f0ac7beb	83.651285000
sgemm	1	4915200	f0ac7beb	46.376547000
sgemm	0	4915200	f0ac7beb	279.292948000
sgemm	3	4915200	f0ac7beb	81.842732000
sgemm	5	4915200	f0ac7beb	81.824243000
sgemm	1	4915200	f0ac7beb	35.583514000
sgemm	2	4915200	f0ac7beb	90.746821000
sgemm	7	4915200	f0ac7beb	97.660541000
sgemm	0	4915200	f0ac7beb	57.851402000
ssyrk	1	3276800	d39bff17	57.741448000
sgemm	3	4915200	f0ac7beb	167.778203000
strsm	0	3276800	d39bff17	109.907063000
sgemm	1	4915200	f0ac7beb	109.869397000
sgemm	7	4915200	f0ac7beb	151.964274000
sgemm	5	4915200	f0ac7beb	167.817639000
sgemm	4	4915200	f0ac7beb	203.933859000
sgemm	1	4915200	f0ac7beb	33.687632000
sgemm	4	4915200	f0ac7beb	33.539951000
sgemm	2	4915200	f0ac7beb	192.596686000
ssyrk	0	3276800	d39bff17	33.597503000
sgemm	4	4915200	f0ac7beb	47.031115000
sgemm	5	4915200	f0ac7beb	80.720460000
sgemm	7	4915200	f0ac7beb	80.743326000
sgemm	0	4915200	f0ac7beb	47.017370000
sgemm	1	4915200	f0ac7beb	47.034475000
sgemm	2	4915200	f0ac7beb	47.047645000
sgemm	3	4915200	f0ac7beb	81.544188000
sgemm	5	4915200	f0ac7beb	26.068338000
sgemm	7	4915200	f0ac7beb	26.178329000
sgemm	0	4915200	f0ac7beb	26.179057000
sgemm	3	4915200	f0ac7beb	25.317248000
sgemm	4	4915200	f0ac7beb	25.230387000
sgemm	0	4915200	f0ac7beb	50.981283000
sgemm	3	4915200	f0ac7beb	50.981217000
sgemm	2	4915200	f0ac7beb	77.104403000
sgemm	4	4915200	f0ac7beb	85.552273000
sgemm	5	4915200	f0ac7beb	85.573383000
sgemm	7	4915200	f0ac7beb	85.555683000
sgemm	3	4915200	f0ac7beb	34.597847000
sgemm	5	4915200	f0ac7beb	59.759775000
sgemm	0	4915200	f0ac7beb	88.044945000
sgemm	7	4915200	f0ac7beb	59.799310000
sgemm	2	4915200	f0ac7beb	94.383719000
sgemm	4	4915200	f0ac7beb	59.773592000
sgemm	1	4915200	f0ac7beb	173.348179000
sgemm	1	4915200	f0ac7beb	25.534380000
sgemm	0	4915200	f0ac7beb	27.318582000
sgemm	3	4915200	f0ac7beb	86.681839000
sgemm	2	4915200	f0ac7beb	27.337762000
sgemm	7	4915200	f0ac7beb	27.344148000
strsm	5	3276800	d39bff17	27.347353000
sgemm	1	4915200	f0ac7beb	23.891241000
sgemm	4	4915200	f0ac7beb	52.093719000
sgemm	2	4915200	f0ac7beb	20.248808000
sgemm	3	4915200	f0ac7beb	20.245126000
ssyrk	5	3276800	d39bff17	24.602610000
sgemm	7	4915200	f0ac7beb	23.889947000
sgemm	0	4915200	f0ac7beb	24.743607000
sgemm	7	4915200	f0ac7beb	4.638720000
sgemm	0	4915200	f0ac7beb	18.596499000
sgemm	5	4915200	f0ac7beb	19.096310000
sgemm	4	4915200	f0ac7beb	51.108080000
sgemm	1	4915200	f0ac7beb	54.917010000
sgemm	2	4915200	f0ac7beb	54.918919000
sgemm	3	4915200	f0ac7beb	54.598051000
sgemm	7	4915200	f0ac7beb	50.276961000
sgemm	0	4915200	f0ac7beb	69.012206000
