CPU8 0.034632 4549 sgemm sgemm CUDA1 0.031428 4589 40
CPU4 0.039648 4550 sgemm sgemm CUDA3 0.046501 4590 40
CPU5 0.036700 4551 sgemm sgemm CUDA3 0.033215 4591 40
CPU18 0.037426 4552 sgemm sgemm CUDA1 0.034731 4592 40
CPU19 0.044540 4553 sgemm sgemm CUDA3 0.029909 4593 40
CPU10 0.029497 4554 sgemm sgemm CUDA1 0.032452 4594 40
CPU16 0.033118 4555 sgemm sgemm CUDA0 0.029277 4595 40
CPU7 0.032155 4556 sgemm sgemm CUDA1 0.031758 4596 40
CPU10 0.028446 4557 sgemm sgemm CUDA1 0.031291 4597 40
CPU2 0.031584 4558 sgemm sgemm CUDA2 0.060010 4598 40
CPU0 0.026755 4561 ssyrk ssyrk CUDA3 0.069403 4601 40
CPU16 0.028806 4562 sgemm sgemm CUDA0 0.029094 4602 40
CPU17 0.034896 4563 sgemm sgemm CUDA3 0.033127 4603 40
CPU9 0.034095 4564 sgemm sgemm CUDA3 0.031712 4604 40
CPU16 0.028037 4565 sgemm sgemm CUDA3 0.029547 4605 40
CPU0 0.031321 4566 sgemm sgemm CUDA0 0.032939 4606 40
CPU10 0.029685 4567 sgemm sgemm CUDA1 0.033769 4607 40
CPU4 0.031192 4568 sgemm sgemm CUDA0 0.050642 4608 40
CPU13 0.052159 4569 sgemm sgemm CUDA1 0.071945 4609 40
CPU3 0.036099 4570 sgemm sgemm CUDA1 0.067216 4610 40
CPU9 0.031029 4571 sgemm sgemm CUDA3 0.030279 4611 40
CPU18 0.023756 4574 ssyrk ssyrk CUDA1 0.050031 4614 40
CPU5 0.033798 4575 sgemm sgemm CUDA3 0.032837 4615 40
CPU2 0.031662 4576 sgemm sgemm CUDA0 0.043479 4616 40
CPU15 0.033464 4577 sgemm sgemm CUDA2 0.070083 4617 40
CPU5 0.030309 4578 sgemm sgemm CUDA1 0.101599 4618 40
CPU9 0.033610 4579 sgemm sgemm CUDA1 0.031010 4619 40
CPU12 0.050867 4580 sgemm sgemm CUDA1 0.029026 4620 40
CPU8 0.035309 4581 sgemm sgemm CUDA0 0.049761 4621 40
CPU14 0.033573 4582 sgemm sgemm CUDA1 0.032578 4622 40
CPU18 0.030702 4583 sgemm sgemm CUDA2 0.033610 4623 40
CPU19 0.039596 4586 ssyrk ssyrk CUDA1 0.071985 4626 40
CPU2 0.029177 4587 sgemm sgemm CUDA0 0.033973 4627 40
CPU18 0.030469 4588 sgemm sgemm CUDA3 0.034166 4628 40
CPU15 0.029902 4589 sgemm sgemm CUDA3 0.031821 4629 40
CPU5 0.032426 4590 sgemm sgemm CUDA3 0.047301 4630 40
CPU1 0.034781 4591 sgemm sgemm CUDA1 0.028699 4631 40
CPU19 0.045174 4592 sgemm sgemm CUDA0 0.030605 4632 40
CPU14 0.029721 4593 sgemm sgemm CUDA2 0.044006 4633 40
CPU7 0.034052 4594 sgemm sgemm CUDA3 0.030130 4634 40
CPU19 0.036693 4597 ssyrk ssyrk CUDA0 0.807228 4637 40
CPU16 0.044640 4598 sgemm sgemm CUDA1 0.032391 4638 40
CPU14 0.028889 4599 sgemm sgemm CUDA0 0.045498 4639 40
CPU5 0.031209 4600 sgemm sgemm CUDA3 0.034315 4640 40
CPU12 0.029462 4601 sgemm sgemm CUDA1 0.029129 4641 40
CPU19 0.043832 4602 sgemm sgemm CUDA2 0.029178 4642 40
CPU0 0.034228 4603 sgemm sgemm CUDA0 0.034771 4643 40
CPU16 0.031281 4604 sgemm sgemm CUDA3 0.029191 4644 40
CPU10 0.029940 4607 ssyrk ssyrk CUDA3 0.067319 4647 40
CPU14 0.028346 4608 sgemm sgemm CUDA3 0.031590 4648 40
CPU19 0.044316 4609 sgemm sgemm CUDA1 0.035572 4649 40
CPU16 0.028192 4610 sgemm sgemm CUDA3 0.030725 4650 40
CPU11 0.034028 4611 sgemm sgemm CUDA3 0.031811 4651 40
CPU4 0.047853 4612 sgemm sgemm CUDA1 0.032325 4652 40
